"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"3/12/2024 9:00:00 PM - 10:00:00 PM","45363.6250000000","558 MB","585564898.6199","1.30 Mbit/s","162670.9241","497 MB","521223656.1155","1.16 Mbit/s","144796.8175","61 MB","64341242.5044","0.14 Mbit/s","17874.1065","0 %","0.0000","100 %","0000009999"
"3/12/2024 10:00:00 PM - 11:00:00 PM","45363.6666666667","681 MB","714562345.8867","1.59 Mbit/s","198507.7371","511 MB","536229997.8822","1.19 Mbit/s","148966.4324","170 MB","178332348.0044","0.40 Mbit/s","49541.3046","0 %","0.0000","100 %","0000009999"
"3/12/2024 11:00:00 PM - 12:00:00 AM","45363.7083333333","4,837 MB","5071994659.2510","11 Mbit/s","1409004.8224","503 MB","526911164.5254","1.17 Mbit/s","146376.4104","4,335 MB","4545083494.7256","10 Mbit/s","1262628.4120","0 %","0.0000","100 %","0000009999"
"3/13/2024 12:00:00 AM - 1:00:00 AM","45363.7500000000","965 MB","1012055543.9038","2.25 Mbit/s","281149.9691","768 MB","805567077.3661","1.79 Mbit/s","223787.2815","197 MB","206488466.5377","0.46 Mbit/s","57362.6876","0 %","0.0000","100 %","0000009999"
"3/13/2024 1:00:00 AM - 2:00:00 AM","45363.7916666667","155 MB","162633620.0603","0.36 Mbit/s","45179.5195","150 MB","157406943.4599","0.35 Mbit/s","43727.5520","4.98 MB","5226676.6004","0.01 Mbit/s","1451.9675","0 %","0.0000","100 %","0000009999"
"3/13/2024 2:00:00 AM - 3:00:00 AM","45363.8333333333","9.14 MB","9583243.1147","0.02 Mbit/s","2662.2190","6.74 MB","7068765.7811","0.02 Mbit/s","1963.6988","2.40 MB","2514477.3336","","698.5203","0 %","0.0000","100 %","0000009999"
"3/13/2024 3:00:00 AM - 4:00:00 AM","45363.8750000000","9.33 MB","9786983.5793","0.02 Mbit/s","2718.8256","6.94 MB","7281574.7630","0.02 Mbit/s","2022.8226","2.39 MB","2505408.8163","","696.0030","0 %","0.0000","100 %","0000009999"
"3/13/2024 4:00:00 AM - 5:00:00 AM","45363.9166666667","9.91 MB","10388254.1946","0.02 Mbit/s","2885.8907","7.36 MB","7714746.1239","0.02 Mbit/s","2143.1815","2.55 MB","2673508.0707","","742.7092","0 %","0.0000","100 %","0000009999"
"3/13/2024 5:00:00 AM - 6:00:00 AM","45363.9583333333","10 MB","10807111.0877","0.02 Mbit/s","3002.2171","7.88 MB","8263524.0417","0.02 Mbit/s","2295.6083","2.43 MB","2543587.0460","","706.6089","0 %","0.0000","100 %","0000009999"
"3/13/2024 6:00:00 AM - 7:00:00 AM","45364.0000000000","22 MB","22939513.1768","0.05 Mbit/s","6372.6003","19 MB","19566282.7663","0.04 Mbit/s","5435.5164","3.22 MB","3373230.4105","","937.0839","0 %","0.0000","100 %","0000009999"
"3/13/2024 7:00:00 AM - 8:00:00 AM","45364.0416666667","109 MB","113867552.6749","0.25 Mbit/s","31632.3360","100 MB","104879275.2243","0.23 Mbit/s","29135.3981","8.57 MB","8988277.4505","0.02 Mbit/s","2496.9379","0 %","0.0000","100 %","0000009999"
"3/13/2024 8:00:00 AM - 9:00:00 AM","45364.0833333333","362 MB","379462910.4413","0.84 Mbit/s","105415.4415","349 MB","365616504.5216","0.81 Mbit/s","101568.8864","13 MB","13846405.9197","0.03 Mbit/s","3846.5551","0 %","0.0000","100 %","0000009999"
"3/13/2024 9:00:00 AM - 10:00:00 AM","45364.1250000000","7.18 MB","7524175.5432","0.02 Mbit/s","2090.2404","5.72 MB","5995240.7212","0.01 Mbit/s","1665.4973","1.46 MB","1528934.8220","","424.7431","0 %","0.0000","100 %","0000009999"
"3/13/2024 10:00:00 AM - 11:00:00 AM","45364.1666666667","451 MB","473157639.6860","1.05 Mbit/s","131441.8056","442 MB","463154149.4507","1.03 Mbit/s","128662.8653","9.54 MB","10003490.2354","0.02 Mbit/s","2778.9403","0 %","0.0000","100 %","0000009999"
"3/13/2024 11:00:00 AM - 12:00:00 PM","45364.2083333333","6.18 MB","6479264.9733","0.01 Mbit/s","1799.9208","4.76 MB","4995415.6705","0.01 Mbit/s","1387.7118","1.42 MB","1483849.3028","","412.2090","0 %","0.0000","100 %","0000009999"
"3/13/2024 12:00:00 PM - 1:00:00 PM","45364.2500000000","6.41 MB","6721445.3513","0.01 Mbit/s","1867.2082","4.96 MB","5204788.3056","0.01 Mbit/s","1445.8830","1.45 MB","1516657.0456","","421.3252","0 %","0.0000","100 %","0000009999"
"3/13/2024 1:00:00 PM - 2:00:00 PM","45364.2916666667","6.98 MB","7318941.6366","0.02 Mbit/s","2033.2088","5.56 MB","5830964.1152","0.01 Mbit/s","1619.8472","1.42 MB","1487977.5214","","413.3615","0 %","0.0000","100 %","0000009999"
"3/13/2024 2:00:00 PM - 3:00:00 PM","45364.3333333333","593 MB","621806556.4892","1.38 Mbit/s","172737.9585","547 MB","573782318.5781","1.28 Mbit/s","159396.8177","46 MB","48024237.9112","0.11 Mbit/s","13341.1408","0 %","0.0000","100 %","0000009999"
"3/13/2024 3:00:00 PM - 4:00:00 PM","45364.3750000000","1,112 MB","1165773528.9722","2.59 Mbit/s","323849.3694","797 MB","835892384.4624","1.86 Mbit/s","232209.0997","315 MB","329881144.5098","0.73 Mbit/s","91640.2697","0 %","0.0000","100 %","0000009999"
"3/13/2024 4:00:00 PM - 5:00:00 PM","45364.4166666667","939 MB","984972791.1222","2.19 Mbit/s","273626.3553","827 MB","867502254.0668","1.93 Mbit/s","240992.9311","112 MB","117470537.0554","0.26 Mbit/s","32633.4242","0 %","0.0000","100 %","0000009999"
"3/13/2024 5:00:00 PM - 6:00:00 PM","45364.4583333333","174 MB","182805988.1711","0.41 Mbit/s","50783.5321","159 MB","167242922.8018","0.37 Mbit/s","46460.1101","15 MB","15563065.3693","0.03 Mbit/s","4323.4220","0 %","0.0000","100 %","0000009999"
"3/13/2024 6:00:00 PM - 7:00:00 PM","45364.5000000000","14 MB","14534463.0592","0.03 Mbit/s","4037.6649","10 MB","10728861.9548","0.02 Mbit/s","2980.4712","3.63 MB","3805601.1043","","1057.1936","0 %","0.0000","100 %","0000009999"
"3/13/2024 7:00:00 PM - 8:00:00 PM","45364.5416666667","16 MB","17231191.3539","0.04 Mbit/s","4786.8011","13 MB","13184408.2712","0.03 Mbit/s","3662.6103","3.86 MB","4046783.0827","","1124.1907","0 %","0.0000","100 %","0000009999"
"3/13/2024 8:00:00 PM - 9:00:00 PM","45364.5833333333","26 MB","27530772.6906","0.06 Mbit/s","7648.0742","23 MB","23909174.1164","0.05 Mbit/s","6641.9908","3.45 MB","3621598.5743","","1006.0834","0 %","0.0000","100 %","0000009999"
"3/13/2024 9:00:00 PM - 10:00:00 PM","45364.6250000000","232 MB","243497170.0712","0.54 Mbit/s","67643.3639","222 MB","233291932.0532","0.52 Mbit/s","64808.3551","9.73 MB","10205238.0180","0.02 Mbit/s","2835.0088","0 %","0.0000","100 %","0000009999"
"3/13/2024 10:00:00 PM - 11:00:00 PM","45364.6666666667","415 MB","434678304.9455","0.97 Mbit/s","120753.0301","399 MB","418671528.6851","0.93 Mbit/s","116306.3698","15 MB","16006776.2604","0.04 Mbit/s","4446.6602","0 %","0.0000","100 %","0000009999"
"3/13/2024 11:00:00 PM - 12:00:00 AM","45364.7083333333","268 MB","281115475.7003","0.62 Mbit/s","78094.7908","250 MB","262632782.3813","0.58 Mbit/s","72960.2387","18 MB","18482693.3190","0.04 Mbit/s","5134.5521","0 %","0.0000","100 %","0000009999"
"3/14/2024 12:00:00 AM - 1:00:00 AM","45364.7500000000","90 MB","93923603.4593","0.21 Mbit/s","26091.9917","78 MB","81699942.1408","0.18 Mbit/s","22696.2567","12 MB","12223661.3185","0.03 Mbit/s","3395.7350","0 %","0.0000","100 %","0000009999"
"3/14/2024 1:00:00 AM - 2:00:00 AM","45364.7916666667","395 MB","414085479.9844","0.98 Mbit/s","122848.8766","385 MB","403580702.1266","0.96 Mbit/s","119732.3700","10 MB","10504777.8579","0.02 Mbit/s","3116.5067","0 %","0.0000","94 %","0000009363"
"3/14/2024 2:00:00 AM - 3:00:00 AM","45364.8333333333","18 MB","18504406.1330","0.04 Mbit/s","5140.5412","14 MB","15062221.9105","0.03 Mbit/s","4184.2992","3.28 MB","3442184.2224","","956.2420","0 %","0.0000","100 %","0000009999"
"3/14/2024 3:00:00 AM - 4:00:00 AM","45364.8750000000","55 MB","57739615.9960","0.13 Mbit/s","16040.2080","52 MB","54126960.7305","0.12 Mbit/s","15036.6035","3.45 MB","3612655.2655","","1003.6046","0 %","0.0000","100 %","0000009999"
"3/14/2024 4:00:00 AM - 5:00:00 AM","45364.9166666667","9.68 MB","10154166.3141","0.02 Mbit/s","2820.8212","7.75 MB","8126364.1445","0.02 Mbit/s","2257.4990","1.93 MB","2027802.1697","","563.3222","0 %","0.0000","100 %","0000009999"
"3/14/2024 5:00:00 AM - 6:00:00 AM","45364.9583333333","8.91 MB","9339540.6435","0.02 Mbit/s","2594.5331","7.17 MB","7521881.6040","0.02 Mbit/s","2089.5857","1.73 MB","1817659.0395","","504.9474","0 %","0.0000","100 %","0000009999"
"3/14/2024 6:00:00 AM - 7:00:00 AM","45365.0000000000","12 MB","12528303.4170","0.03 Mbit/s","3480.3840","10 MB","10898708.5953","0.02 Mbit/s","3027.6798","1.55 MB","1629594.8217","","452.7042","0 %","0.0000","100 %","0000009999"
"3/14/2024 7:00:00 AM - 8:00:00 AM","45365.0416666667","373 MB","391550066.6744","0.87 Mbit/s","108772.6697","360 MB","377197969.1857","0.84 Mbit/s","104785.6547","14 MB","14352097.4887","0.03 Mbit/s","3987.0149","0 %","0.0000","100 %","0000009999"
"3/14/2024 8:00:00 AM - 9:00:00 AM","45365.0833333333","640 MB","671258770.0137","1.49 Mbit/s","186474.7551","610 MB","639161332.8720","1.42 Mbit/s","177558.1315","31 MB","32097437.1417","0.07 Mbit/s","8916.6235","0 %","0.0000","100 %","0000009999"
"3/14/2024 9:00:00 AM - 10:00:00 AM","45365.1250000000","251 MB","263221762.5338","0.58 Mbit/s","73123.0467","244 MB","255484733.6349","0.57 Mbit/s","70973.6989","7.38 MB","7737028.8989","0.02 Mbit/s","2149.3478","0 %","0.0000","100 %","0000009999"
"3/14/2024 10:00:00 AM - 11:00:00 AM","45365.1666666667","7.24 MB","7593552.8893","0.02 Mbit/s","2109.4785","5.92 MB","6209351.5476","0.01 Mbit/s","1724.9492","1.32 MB","1384201.3417","","384.5292","0 %","0.0000","100 %","0000009999"
"3/14/2024 11:00:00 AM - 12:00:00 PM","45365.2083333333","588 MB","616704070.6993","1.37 Mbit/s","171319.5353","560 MB","587499715.0753","1.31 Mbit/s","163206.6058","28 MB","29204355.6239","0.06 Mbit/s","8112.9295","0 %","0.0000","100 %","0000009999"
