"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"3/7/2024 6:04:00 PM - 6:05:00 PM","45358.4618055556","0.32 MB","332923.0638","0.04 Mbit/s","5548.7177","0.08 MB","82197.0212","0.01 Mbit/s","1369.9504","0.24 MB","250726.0427","0.03 Mbit/s","4178.7674","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:05:00 PM - 6:06:00 PM","45358.4625000000","0.17 MB","173608.6804","0.02 Mbit/s","2893.9603","0.05 MB","53127.3811","","885.6040","0.11 MB","120481.2994","0.02 Mbit/s","2008.3564","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:06:00 PM - 6:07:00 PM","45358.4631944444","0.13 MB","133331.9361","0.02 Mbit/s","2222.1989","0.04 MB","43753.2645","","729.2211","0.09 MB","89578.6716","0.01 Mbit/s","1492.9779","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:07:00 PM - 6:08:00 PM","45358.4638888889","0.10 MB","103373.3664","0.01 Mbit/s","1722.8894","0.02 MB","24336.9461","","405.6158","0.08 MB","79036.4204","0.01 Mbit/s","1317.2737","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:08:00 PM - 6:09:00 PM","45358.4645833333","0.31 MB","327178.5958","0.04 Mbit/s","5452.9766","0.06 MB","63140.1020","","1052.3350","0.25 MB","264038.4937","0.04 Mbit/s","4400.6416","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:09:00 PM - 6:10:00 PM","45358.4652777778","0.23 MB","237396.0031","0.03 Mbit/s","3957.2596","0.06 MB","63073.6794","","1051.4032","0.17 MB","174322.3237","0.02 Mbit/s","2905.8564","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:10:00 PM - 6:11:00 PM","45358.4659722222","0.17 MB","182913.2575","0.02 Mbit/s","3049.0625","0.05 MB","49436.1448","","824.0731","0.13 MB","133477.1127","0.02 Mbit/s","2224.9894","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:11:00 PM - 6:12:00 PM","45358.4666666667","0.16 MB","168560.4117","0.02 Mbit/s","2809.3402","0.05 MB","51035.8657","","850.5978","0.11 MB","117524.5460","0.02 Mbit/s","1958.7424","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:12:00 PM - 6:13:00 PM","45358.4673611111","0.16 MB","169209.3390","0.02 Mbit/s","2820.1556","0.04 MB","41262.9777","","687.7163","0.12 MB","127946.3613","0.02 Mbit/s","2132.4394","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:13:00 PM - 6:14:00 PM","45358.4680555556","0.17 MB","179699.6760","0.02 Mbit/s","2995.4938","0.05 MB","55505.3268","","925.2430","0.12 MB","124194.3493","0.02 Mbit/s","2070.2509","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:14:00 PM - 6:15:00 PM","45358.4687500000","0.14 MB","150875.8958","0.02 Mbit/s","2514.5983","0.05 MB","52947.8518","","882.4642","0.09 MB","97928.0440","0.01 Mbit/s","1632.1341","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:15:00 PM - 6:16:00 PM","45358.4694444444","0.12 MB","126971.0229","0.02 Mbit/s","2116.1837","0.04 MB","45512.8010","","758.5467","0.08 MB","81458.2219","0.01 Mbit/s","1357.6370","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:16:00 PM - 6:17:00 PM","45358.4701388889","0.30 MB","311550.3048","0.04 Mbit/s","5192.5051","0.17 MB","178083.0601","0.02 Mbit/s","2968.0510","0.13 MB","133467.2447","0.02 Mbit/s","2224.4541","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:17:00 PM - 6:18:00 PM","45358.4708333333","0.18 MB","189171.7907","0.03 Mbit/s","3153.3887","0.09 MB","90440.5253","0.01 Mbit/s","1507.5934","0.09 MB","98731.2654","0.01 Mbit/s","1645.7954","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:18:00 PM - 6:19:00 PM","45358.4715277778","0.13 MB","131584.8830","0.02 Mbit/s","2193.4470","0.04 MB","42581.4241","","709.8087","0.08 MB","89003.4589","0.01 Mbit/s","1483.6383","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:19:00 PM - 6:20:00 PM","45358.4722222222","0.31 MB","322844.7261","0.04 Mbit/s","5380.7454","0.06 MB","68069.0254","","1134.4838","0.24 MB","254775.7007","0.03 Mbit/s","4246.2617","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:20:00 PM - 6:21:00 PM","45358.4729166667","0.21 MB","215466.5420","0.03 Mbit/s","3591.1090","0.05 MB","51947.3038","","865.7884","0.16 MB","163519.2382","0.02 Mbit/s","2725.3206","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:21:00 PM - 6:22:00 PM","45358.4736111111","0.12 MB","121729.2475","0.02 Mbit/s","2029.1590","0.04 MB","43613.2150","","727.0081","0.07 MB","78116.0325","0.01 Mbit/s","1302.1509","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:22:00 PM - 6:23:00 PM","45358.4743055556","0.13 MB","135989.7965","0.02 Mbit/s","2266.8744","0.04 MB","40440.3438","","674.1181","0.09 MB","95549.4527","0.01 Mbit/s","1592.7563","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:23:00 PM - 6:24:00 PM","45358.4750000000","0.33 MB","345509.2992","0.05 Mbit/s","5758.4883","0.06 MB","67484.1183","","1124.7353","0.27 MB","278025.1809","0.04 Mbit/s","4633.7530","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:24:00 PM - 6:25:00 PM","45358.4756944444","0.22 MB","231703.2863","0.03 Mbit/s","3861.7214","0.05 MB","56560.1871","","942.6698","0.17 MB","175143.0992","0.02 Mbit/s","2919.0517","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:25:00 PM - 6:26:00 PM","45358.4763888889","0.12 MB","127209.0728","0.02 Mbit/s","2120.5046","0.04 MB","45699.3741","","761.7832","0.08 MB","81509.6987","0.01 Mbit/s","1358.7214","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:26:00 PM - 6:27:00 PM","45358.4770833333","0.12 MB","128065.9027","0.02 Mbit/s","2134.4317","0.04 MB","45093.2069","","751.5534","0.08 MB","82972.6958","0.01 Mbit/s","1382.8783","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:27:00 PM - 6:28:00 PM","45358.4777777778","0.20 MB","206786.5486","0.03 Mbit/s","3447.0170","0.04 MB","39966.0210","","666.2114","0.16 MB","166820.5276","0.02 Mbit/s","2780.8056","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:28:00 PM - 6:29:00 PM","45358.4784722222","0.21 MB","223513.2684","0.03 Mbit/s","3725.2211","0.06 MB","59943.4858","","999.0581","0.16 MB","163569.7826","0.02 Mbit/s","2726.1630","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:29:00 PM - 6:30:00 PM","45358.4791666667","0.21 MB","222858.6534","0.03 Mbit/s","3714.3109","0.06 MB","60228.7699","","1003.8128","0.16 MB","162629.8835","0.02 Mbit/s","2710.4981","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:30:00 PM - 6:31:00 PM","45358.4798611111","0.19 MB","199519.1663","0.03 Mbit/s","3325.3194","0.07 MB","76660.6581","0.01 Mbit/s","1277.6776","0.12 MB","122858.5082","0.02 Mbit/s","2047.6418","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:31:00 PM - 6:32:00 PM","45358.4805555556","0.21 MB","221181.0784","0.03 Mbit/s","3686.9658","0.08 MB","78646.8382","0.01 Mbit/s","1310.9991","0.14 MB","142534.2402","0.02 Mbit/s","2375.9667","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:32:00 PM - 6:33:00 PM","45358.4812500000","0.17 MB","178127.9368","0.02 Mbit/s","2969.2938","0.06 MB","61678.1450","","1028.1404","0.11 MB","116449.7918","0.02 Mbit/s","1941.1534","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:33:00 PM - 6:34:00 PM","45358.4819444444","0.11 MB","120255.4416","0.02 Mbit/s","2004.5915","0.03 MB","34680.1638","","578.0991","0.08 MB","85575.2777","0.01 Mbit/s","1426.4924","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:34:00 PM - 6:35:00 PM","45358.4826388889","0.14 MB","149387.7798","0.02 Mbit/s","2489.7963","0.05 MB","51124.5530","","852.0759","0.09 MB","98263.2268","0.01 Mbit/s","1637.7204","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:35:00 PM - 6:36:00 PM","45358.4833333333","0.35 MB","365993.5669","0.05 Mbit/s","6100.9096","0.07 MB","73329.3526","","1222.3596","0.28 MB","292664.2144","0.04 Mbit/s","4878.5500","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:36:00 PM - 6:37:00 PM","45358.4840277778","0.25 MB","262912.7303","0.04 Mbit/s","4382.6093","0.07 MB","73228.1175","","1220.6721","0.18 MB","189684.6128","0.03 Mbit/s","3161.9372","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:37:00 PM - 6:38:00 PM","45358.4847222222","0.12 MB","127689.3864","0.02 Mbit/s","2128.1564","0.04 MB","46259.7928","","770.9965","0.08 MB","81429.5936","0.01 Mbit/s","1357.1599","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:38:00 PM - 6:39:00 PM","45358.4854166667","0.21 MB","222376.9570","0.03 Mbit/s","3706.9004","0.11 MB","114385.3844","0.02 Mbit/s","1906.7409","0.10 MB","107991.5726","0.01 Mbit/s","1800.1596","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:39:00 PM - 6:40:00 PM","45358.4861111111","0.17 MB","179239.2279","0.02 Mbit/s","2987.3205","0.08 MB","84885.5683","0.01 Mbit/s","1414.7595","0.09 MB","94353.6597","0.01 Mbit/s","1572.5610","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:40:00 PM - 6:41:00 PM","45358.4868055556","0.15 MB","155988.5444","0.02 Mbit/s","2600.2424","0.05 MB","57410.1350","","956.9951","0.09 MB","98578.4094","0.01 Mbit/s","1643.2474","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:41:00 PM - 6:42:00 PM","45358.4875000000","0.12 MB","124592.6021","0.02 Mbit/s","2076.8895","0.04 MB","44034.8143","","734.0359","0.08 MB","80557.7878","0.01 Mbit/s","1342.8536","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:42:00 PM - 6:43:00 PM","45358.4881944444","0.13 MB","138044.1067","0.02 Mbit/s","2300.7351","0.04 MB","43151.6526","","719.1942","0.09 MB","94892.4541","0.01 Mbit/s","1581.5409","0 %","0.0000","100 %","0000010000"
"3/7/2024 6:43:00 PM - 6:44:00 PM","45358.4888888889","0.10 MB","104529.0408","0.01 Mbit/s","1742.4411","0.02 MB","22212.3001","","370.2667","0.08 MB","82316.7408","0.01 Mbit/s","1372.1744","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:44:00 PM - 6:45:00 PM","45358.4895833333","0.11 MB","112512.2137","0.02 Mbit/s","1875.5161","0.03 MB","31618.9610","","527.0705","0.08 MB","80893.2526","0.01 Mbit/s","1348.4456","0 %","0.0000","100 %","0000009998"
"3/7/2024 6:45:00 PM - 6:46:00 PM","45358.4902777778","0.11 MB","114382.1408","0.02 Mbit/s","1906.3690","0.04 MB","38182.1297","","636.3688","0.07 MB","76200.0111","0.01 Mbit/s","1270.0002","0 %","0.0000","100 %","0000010000"
